Date,Weight,Cortisol,ID
6.2.18,0.204,5.755882353,Gambir
10.2.18,0.2,5.8229,Gambir
23.1.18,0.203,6.69635468,Gambir
26.1.18,0.203,6.928374384,Gambir
16.2.18,0.201,7.129253731,Gambir
19.1.18,0.201,7.209054726,Gambir
12.1.18,0.201,7.614825871,Gambir
2.2.18,0.202,7.631881188,Gambir
23.2.18,0.204,7.693431373,Gambir
14.8.20,0.104,8.304807692,Komali
4.9.20,0.104,8.304807692,Komali
3.11.20,0.103,8.31184466,Gambir
15.9.20,0.104,8.358269231,Gambir
15.10.19,0.101,8.384752475,Gambir
15.1.21,0.101,8.385148515,Gambir
11.12.20,0.101,8.403564356,Komali
12.3.19,0.103,8.436699029,Gambir
8.9.20,0.104,8.482884615,Gambir
21.12.18,0.101,8.603762376,Gambir
20.2.18,0.2,8.6112,Jati
1.2.22,0.105,8.668952381,Komali
6.10.20,0.106,8.676415094,Jati
30.10.20,0.106,8.761886792,Gambir
2.7.21,0.101,8.801386139,Jati
16.10.20,0.103,8.88,Jati
18.12.18,0.103,8.999223301,Gambir
17.11.20,0.103,9.045242718,Gambir
26.1.21,0.105,9.228,Jati
18.10.19,0.1,9.2498,Gambir
10.11.20,0.101,9.252079208,Gambir
29.10.19,0.101,9.37,Jati
3.9.21,0.102,9.490784314,Jati
6.8.21,0.102,9.552941176,Gambir
2.3.18,0.2,9.59,Jati
18.12.20,0.1,9.6746,Jati
11.9.20,0.1,9.7842,Gambir
20.10.20,0.1,9.8066,Gambir
4.10.19,0.103,9.90,Jati
19.6.20,0.103,9.946601942,Komali
12.1.21,0.106,9.996415094,Gambir
14.9.21,0.102,10.09490196,Gambir
29.10.19,0.105,10.14114286,Gambir
16.10.20,0.106,10.26283019,Komali
2.3.18,0.205,10.26829268,Gambir
28.7.20,0.104,10.31480769,Komali
24.8.21,0.105,10.3887619,Jati
17.4.20,0.102,10.39784314,Komali
4.12.20,0.104,10.4025,Gambir
1.12.20,0.106,10.75056604,Jati
25.9.20,0.1,10.7778,Jati
9.10.20,0.102,10.94607843,Jati
13.10.20,0.102,10.94607843,Jati
24.8.21,0.105,11.02342857,Gambir
6.11.20,0.101,11.08415842,Gambir
17.8.21,0.104,11.25923077,Jati
30.3.21,0.105,11.28552381,Gambir
24.7.20,0.1,11.3122,Komali
25.8.20,0.102,11.47607843,Komali
19.1.21,0.104,11.50461538,Gambir
22.1.21,0.106,11.51660377,Jati
11.8.20,0.105,11.55904762,Gambir
10.9.21,0.104,11.58615385,Gambir
20.11.20,0.102,11.59509804,Gambir
13.2.18,0.202,11.67425743,Gambir
15.9.20,0.1,11.705,Jati
7.5.21,0.106,11.73018868,Komali
19.5.20,0.104,11.92403846,Komali
20.2.18,0.203,11.93300493,Gambir
8.1.21,0.1,11.9914,Gambir
25.6.21,0.102,12.00823529,Gambir
21.1.20,0.101,12.0190099,Komali
24.4.20,0.101,12.0190099,Komali
4.6.21,0.101,12.04514851,Gambir
22.10.19,0.101,12.06792079,Komali
16.6.20,0.1,12.102,Komali
27.11.20,0.101,12.10970297,Jati
25.10.19,0.1,12.11,Komali
1.9.20,0.106,12.11169811,Gambir
13.8.21,0.104,12.11634615,Jati
11.10.19,0.105,12.13771429,Gambir
29.1.21,0.105,12.14152381,Komali
8.12.20,0.101,12.23009901,Komali
10.8.21,0.101,12.33881188,Jati
29.6.21,0.101,12.35148515,Jati
25.9.20,0.103,12.40252427,Komali
24.11.20,0.101,12.41881188,Komali
27.11.20,0.102,12.47098039,Gambir
6.10.20,0.103,12.4968932,Gambir
11.12.20,0.1,12.5356,Jati
5.11.19,0.102,12.57,Jati
30.11.18,0.102,12.60,Jati
2.6.20,0.103,12.77941748,Gambir
24.11.20,0.106,12.78792453,Gambir
19.1.21,0.103,12.86330097,Jati
22.1.21,0.106,12.93113208,Komali
5.1.21,0.102,12.94078431,Komali
24.11.20,0.102,12.95411765,Jati
22.1.19,0.1,13.00,Jati
26.1.21,0.101,13.01821782,Gambir
18.6.21,0.101,13.03722772,Gambir
29.1.21,0.103,13.06,Jati
7.8.20,0.1,13.0976,Gambir
12.3.19,0.105,13.13,Jati
7.7.20,0.101,13.22633663,Jati
13.4.21,0.102,13.38117647,Komali
31.8.21,0.103,13.40174757,Jati
14.8.20,0.103,13.41961165,Gambir
19.8.20,0.102,13.42078431,Gambir
22.5.20,0.101,13.4790099,Komali
15.6.21,0.101,13.50455446,Gambir
15.6.21,0.103,13.52932039,Jati
8.1.21,0.104,13.57884615,Komali
17.5.19,0.104,13.63788462,Komali
30.3.21,0.101,13.66158416,Komali
3.7.20,0.104,13.67403846,Jati
23.4.21,0.103,13.68834951,Gambir
5.11.19,0.1,13.7182,Gambir
11.8.20,0.101,13.78316832,Komali
28.12.18,0.105,13.90228571,Gambir
11.9.20,0.1,13.9452,Komali
6.4.21,0.101,13.95940594,Komali
11.5.21,0.103,14.00446602,Komali
1.1.21,0.105,14.02361905,Komali
20.12.19,0.103,14.04194175,Jati
13.11.20,0.106,14.06056604,Gambir
21.7.20,0.101,14.19148515,Komali
7.9.21,0.101,14.24237624,Gambir
20.4.21,0.102,14.27078431,Gambir
21.8.20,0.101,14.35267327,Gambir
9.10.20,0.104,14.36538462,Komali
25.8.20,0.1,14.4282,Gambir
15.10.19,0.1,14.47,Jati
28.7.20,0.1,14.5644,Gambir
1.6.21,0.1,14.6352,Jati
28.8.20,0.1,14.6446,Komali
14.6.19,0.103,14.65145631,Gambir
7.6.19,0.102,14.69235294,Gambir
11.12.20,0.102,14.74313725,Gambir
30.6.20,0.101,14.82851485,Gambir
13.10.20,0.103,14.8961165,Komali
12.6.20,0.1,14.9076,Gambir
27.2.18,0.204,15.04019608,Komali
20.11.18,0.102,15.07980392,Gambir
8.9.20,0.1,15.1412,Komali
25.6.19,0.104,15.26,Jati
14.5.21,0.103,15.28737864,Komali
2.3.18,0.2,15.322,Komali
14.4.20,0.101,15.33,Jati
31.8.21,0.102,15.3445098,Gambir
16.1.18,0.201,15.35721393,Gambir
3.7.20,0.104,15.39692308,Komali
16.4.19,0.101,15.41,Jati
3.9.19,0.102,15.42431373,Gambir
3.9.21,0.105,15.56209524,Gambir
9.4.21,0.102,15.58058824,Komali
19.3.19,0.1,15.6764,Komali
11.12.18,0.105,15.69314286,Gambir
23.7.21,0.101,15.71267327,Komali
21.7.20,0.101,15.73108911,Gambir
21.8.20,0.1,15.8002,Komali
19.3.21,0.1,15.812,Komali
27.11.18,0.101,15.94613861,Gambir
25.9.20,0.103,15.98621359,Gambir
7.6.19,0.101,16.02059406,Komali
12.6.20,0.105,16.06761905,Komali
23.7.19,0.104,16.07,Jati
6.11.21,0.104,16.09557692,Komali
13.3.21,0.101,16.13544554,Komali
26.12.20,0.101,16.23267327,Komali
21.1.22,0.101,16.27584158,Komali
14.7.20,0.106,16.32509434,Komali
10.8.21,0.101,16.33168317,Gambir
1.9.20,0.1,16.3332,Komali
22.1.19,0.1,16.4628,Gambir
8.2.19,0.103,16.47,Jati
30.4.21,0.103,16.47242718,Jati
29.12.20,0.103,16.53203883,Jati
11.2.22,0.1,16.5886,Komali
31.1.20,0.104,16.60442308,Komali
24.3.20,0.105,16.6552381,Gambir
8.6.21,0.1,16.7284,Komali
4.10.19,0.103,16.74368932,Gambir
1.12.20,0.102,16.78392157,Gambir
28.12.21,0.104,16.81365385,Komali
1.1.21,0.1,16.8226,Jati
23.3.18,0.205,16.84585366,Komali
11.5.21,0.101,16.8809901,Jati
2.11.18,0.105,16.88609524,Gambir
4.6.19,0.102,16.96843137,Komali
19.3.21,0.105,16.97238095,Gambir
9.6.20,0.101,17.02574257,Komali
14.1.22,0.1,17.0434,Komali
30.7.19,0.104,17.06,Jati
2.8.19,0.103,17.16,Jati
20.8.21,0.101,17.18594059,Jati
21.4.20,0.105,17.19,Jati
10.7.20,0.1,17.196,Komali
2.4.21,0.102,17.19882353,Gambir
13.8.21,0.1,17.1996,Gambir
18.1.22,0.101,17.2560396,Komali
16.4.19,0.104,17.28980769,Komali
7.2.20,0.1,17.3106,Gambir
4.6.21,0.101,17.31188119,Komali
4.6.21,0.1,17.3896,Jati
8.12.20,0.1,17.4806,Jati
3.1.20,0.102,17.50941176,Jati
9.4.21,0.105,17.5247619,Gambir
27.11.18,0.103,17.59,Jati
1.6.21,0.102,17.61333333,Gambir
24.7.20,0.104,17.61442308,Gambir
14.4.20,0.101,17.63,Gambir
17.8.21,0.103,17.63048544,Komali
23.11.18,0.103,17.63572816,Gambir
